Základná škola,Košický,Rožňava,"ZŠ - Rožňava, Pionierov",Pionierov 1,40.7
Základná škola,Košický,Rožňava,"ZŠ - Rožňava, Zakarpatská",Zakarpatská 12,30.8
Základná škola,Košický,Rejdová,ZŠ - Rejdová,Rejdová 43,13.2
Základná škola,Košický,Plešivec,"ZŠ - Plešivec, Čsl.armády",Československej armády 31,17.3
Základná škola,Košický,Plešivec,"ZŠ - Plešivec, Gemerská",Gemerská 1,20.3
Základná škola,Košický,Nižná Slaná,"ZŠ s MŠ - Nižná Slaná, Letná",Letná 14,20.3
Základná škola,Košický,Krásnohorské Podhradie,"ZŠ - Krásnohorské Podhradie, Pokroková",Pokroková 199,26.4
Základná škola,Košický,Jablonov nad Turňou,ZŚ s MŠ s VJM - Jablonov nad Turňou,Jablonov nad Turňou 229,8.9
Základná škola,Košický,Gemerská Poloma,"ZŠ - Gemerská Poloma, Sládkovičova",Sládkovičova 487,16.2
Základná škola,Košický,Drnava,ZŠ s VJM - Drnava,Drnava 105,15.1
Základná škola,Košický,Dobšiná,"ZŠ - Dobšiná, Zimná",Zimná 190,38.5
Základná škola,Košický,Jovsa,ZŠ - Jovsa,Jovsa 242,10.6
Základná škola,Košický,Pavlovce nad Uhom,"ZŠ s MŠ - Pavlovce nad Uhom, Školská",Školská 3,33.1
Základná škola,Košický,Gelnica,"ZŠ - Gelnica, Hlavná",Hlavná 121,37.6
Základná škola,Košický,Spišská Nová Ves,"ZŠ - Spiš.N.V., Lipová",Lipová 13,24.4
Základná škola,Košický,Spišská Nová Ves,"ZŠ - Spiš.N.V., Hutnícka",Hutnícka 16,37
Základná škola,Košický,Spišské Vlachy,"ZŠ - Spiš.Vlachy, Komenského",Komenského 6,30
Základná škola,Košický,Hrabušice,"ZŠ s MŠ - Hrabušice, Hlavná",Hlavná 369,22
Základná škola,Košický,Krompachy,"ZŠ - Krompachy, Zemanská",Zemanská 2,19.3
Základná škola,Košický,Buzica,ZŠ s VJM - Buzica,Buzica 327,12.1
Základná škola,Košický,Poproč,"ZŠ s MŠ - Poproč, Školská",Školská 3,13.8
Základná škola,Košický,Ruskov,ZŠ - Ruskov,Ruskov 32,12.3
Základná škola,Košický,Haniska,ZŠ - Haniska,Haniska 290,13.6
